time,cycle,analyzer_signal,score,confidence,min_conf,close,open_positions,pending_orders,analyzer_error,analyzer_error_msg,final_signal,reject_reason,order_type,is_trade_allowed,deviation_pips,rr_ratio,context,entry_source,entry_distance_pips,entry_distance_atr,zone_meta_json
2025-12-31 10:00:00,129,NONE,56.2,56.1,9.0,4322.92,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 10:15:00,130,NONE,51.6,36.4,9.0,4326.18,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 10:30:00,131,NONE,51.0,34.0,9.0,4317.45,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 10:45:00,132,NONE,52.7,41.6,9.0,4307.41,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 11:00:00,133,NONE,52.9,43.1,9.0,4317.18,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 11:15:00,134,NONE,52.1,38.5,9.0,4323.77,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 11:30:00,135,NONE,51.8,37.1,9.0,4336.2,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 11:45:00,136,NONE,51.4,35.1,9.0,4325.78,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 12:00:00,137,NONE,49.1,31.8,9.0,4327.06,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 12:15:00,138,NONE,50.5,27.5,9.0,4319.73,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 12:30:00,139,NONE,50.1,28.1,9.0,4307.28,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 12:45:00,140,NONE,49.5,30.4,9.0,4306.71,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 13:00:00,141,SELL,44.5,52.1,9.0,4313.93,0,0,False,,SELL,Deviation exceeded without sufficient confidence.,NONE,False,65.86500000000342,0.0,,,,,
2025-12-31 13:15:00,142,NONE,44.2,53.5,9.0,4311.31,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 13:30:00,143,NONE,44.1,53.8,9.0,4312.62,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 13:45:00,144,NONE,44.3,53.4,9.0,4311.01,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 14:00:00,145,NONE,48.6,35.0,9.0,4308.96,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 14:15:00,146,NONE,49.2,32.4,9.0,4307.07,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 14:30:00,147,SELL,43.6,56.1,9.0,4317.15,0,0,False,,SELL,Risk validation failed.,NONE,False,33.66500000000997,1.499999999999995,,,,,
2025-12-31 14:45:00,148,NONE,43.3,57.0,9.0,4313.77,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 15:00:00,149,NONE,46.9,47.6,9.0,4311.76,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 15:15:00,150,NONE,51.7,36.3,9.0,4328.61,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 15:30:00,151,NONE,50.0,33.7,9.0,4333.06,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 15:45:00,152,NONE,66.6,70.7,9.0,4345.81,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 16:00:00,153,NONE,65.1,70.2,9.0,4340.17,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 16:15:00,154,NONE,47.8,44.1,9.0,4337.13,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 16:30:00,155,NONE,65.3,71.2,9.0,4344.07,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 16:45:00,156,NONE,61.4,66.2,9.0,4345.87,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 17:00:00,157,NONE,47.9,44.6,9.0,4331.8,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 17:15:00,158,NONE,47.9,44.8,9.0,4337.19,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 17:30:00,159,NONE,47.6,46.3,9.0,4331.11,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 17:45:00,160,NONE,52.3,36.2,9.0,4337.36,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 18:00:00,161,NONE,49.2,39.2,9.0,4324.03,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 18:15:00,162,NONE,49.1,39.8,9.0,4325.59,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 18:30:00,163,NONE,49.0,40.2,9.0,4319.86,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 18:45:00,164,NONE,49.6,37.5,9.0,4323.04,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 19:00:00,165,NONE,49.0,40.2,9.0,4323.44,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 19:15:00,166,NONE,49.1,39.8,9.0,4320.71,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 19:30:00,167,NONE,49.4,38.2,9.0,4325.55,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 19:45:00,168,NONE,49.4,38.3,9.0,4321.95,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 20:00:00,169,NONE,48.4,38.6,9.0,4327.67,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 20:15:00,170,NONE,48.3,38.9,9.0,4328.59,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 20:30:00,171,NONE,47.9,40.8,9.0,4322.14,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 20:45:00,172,NONE,48.0,40.5,9.0,4319.75,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 21:00:00,173,NONE,48.0,40.3,9.0,4317.93,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 21:15:00,174,NONE,48.0,40.4,9.0,4317.76,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 21:30:00,175,NONE,48.7,38.4,9.0,4310.93,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 21:45:00,176,SELL,41.3,62.6,9.0,4311.46,0,0,False,,SELL,Risk validation failed.,NONE,False,32.219999999997526,1.5,,,,,
2025-12-31 22:00:00,177,NONE,47.1,44.6,9.0,4314.98,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 22:15:00,178,NONE,40.7,63.4,9.0,4314.83,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 22:30:00,179,NONE,48.0,40.2,9.0,4321.15,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 22:45:00,180,NONE,48.4,38.5,9.0,4313.31,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 23:00:00,181,NONE,47.2,42.7,9.0,4313.14,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 23:15:00,182,NONE,39.3,64.0,9.0,4310.04,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 23:30:00,183,NONE,40.3,63.0,9.0,4314.74,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
2025-12-31 23:45:00,184,NONE,41.5,62.3,9.0,4319.91,0,0,False,,NONE,ANALYZER_NONE,,,,,,,,,
