time,open,high,low,close,volume
2026-01-15 01:00:00,4630.53,4632.67,4620.37,4622.88,1050
2026-01-15 01:05:00,4622.83,4623.69,4612.65,4612.65,1103
2026-01-15 01:10:00,4612.61,4617.93,4612.26,4616.82,1479
2026-01-15 01:15:00,4616.57,4618.48,4610.85,4612.09,1229
2026-01-15 01:20:00,4612.08,4612.29,4607.62,4608.38,1115
2026-01-15 01:25:00,4608.4,4609.56,4605.55,4609.13,1234
2026-01-15 01:30:00,4609.07,4612.16,4608.14,4609.42,1136
2026-01-15 01:35:00,4609.39,4612.99,4606.58,4607.22,1117
2026-01-15 01:40:00,4607.06,4607.19,4603.02,4606.45,1048
2026-01-15 01:45:00,4606.46,4614.6,4606.46,4613.77,1375
2026-01-15 01:50:00,4613.52,4613.76,4610.12,4610.48,991
2026-01-15 01:55:00,4610.51,4616.17,4610.4,4615.29,940
2026-01-15 02:00:00,4615.25,4617.17,4611.64,4616.32,1264
2026-01-15 02:05:00,4616.31,4617.58,4614.29,4617.27,822
2026-01-15 02:10:00,4617.32,4617.9,4614.93,4616.61,872
2026-01-15 02:15:00,4616.6,4618.18,4614.62,4616.98,909
2026-01-15 02:20:00,4616.9,4617.79,4614.16,4617.65,728
2026-01-15 02:25:00,4617.38,4617.75,4615.58,4616.7,836
2026-01-15 02:30:00,4616.69,4618.17,4615.7,4616.6,804
2026-01-15 02:35:00,4616.51,4617.81,4615.51,4616.07,774
2026-01-15 02:40:00,4616.05,4616.23,4613.41,4613.88,1087
2026-01-15 02:45:00,4613.8,4615.36,4610.46,4610.59,1258
2026-01-15 02:50:00,4610.58,4614.42,4610.23,4613.63,1374
2026-01-15 02:55:00,4613.62,4617.57,4613.62,4615.25,1082
2026-01-15 03:00:00,4615.26,4616.21,4607.04,4609.86,2290
2026-01-15 03:05:00,4609.95,4617.54,4606.71,4616.51,1919
2026-01-15 03:10:00,4616.57,4616.96,4607.85,4609.14,1904
2026-01-15 03:15:00,4609.17,4610.06,4602.8,4603.58,1999
2026-01-15 03:20:00,4603.64,4605.69,4597.68,4597.92,1957
2026-01-15 03:25:00,4597.93,4603.47,4596.97,4600.58,2240
